game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Draw,Draw,1/2-1/2,192x16_20260617_lr1e-9-310,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 c8g4 c2c3 f8d6 f1e1 c6e7 h2h3 g4h5 c1g5 e8g8 b1d2 e7g6 g2g4 g6f4 g5f4 d6f4 g4h5 f6h5 d2f1 d8f6 f3e5 f6g5 d1g4 g5g4 h3g4 h5f6 g1g2 a8e8 g2f3 f4e5 e1e5 e8e5 d4e5 f6d7 a1e1 d7c5 d3c2 f8e8 f1g3 f7f6 b2b4 c5e6 e5f6 e6g5 f3f4 e8e1 f4g5 g7f6 g5f6 e1c1 c2b3 c1c3 b3d5 g8f8 g3e4 c3f3 f6e5 c7c6 d5b3 b7b6 g4g5 f8g7 b3d1 f3d3 d1b3 d3f3 b3d1 f3d3 d1b3 d3f3 b3d1 f3d3 d1b3 d3f3 b3d1 f3d3 d1b3 d3f3
2,Draw,Draw,1/2-1/2,maia-1100,192x16_20260617_lr1e-9-310,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 e2e7 f8e7 b1c3 b8c6 c3b5 e8d7 d3d4 a7a6 b5c3 c6b4 f1d3 b4d3 c2d3 b7b5 e1g1 c8b7 f3g5 h8f8 f1e1 h7h6 g5h3 g7g5 f2f4 g5g4 h3f2 h6h5 h2h3 g4h3 f2h3 f8g8 h3g5 f6g4 g5f7 e7h4 e1e2 h4f6 c3e4 f6d4 g1f1 a8f8 f7g5 h5h4 g5f3 d4b6 f3h4 g4e5 c1e3 b6e3 e2e3 f8f4 h4f3 e5d3 e3d3 b7e4 d3e3 c7c5 a1e1 d6d5 f1f2 d7d6 g2g3 f4f7 f2g2 c5c4 b2b3 f7g7 b3c4 g7g3 g2f2 b5c4 e3a3 g3g2 f2e3 g8g3 a3a6 d6c5 a6a5 c5b4 a5a8 g3f3 e3d4 g2d2 d4e5 f3f5 e5e6 c4c3 a8b8 b4c4 b8c8 c4d3 a2a4 c3c2 e1c1 d2d1 c1c2 f5h5 a4a5 d1a1 c2c5 d3e3 c8a8 h5h6 e6e5 d5d4 a8d8 d4d3 d8d4 h6h5 e5d6 h5h6 d6e5 h6h5 e5d6 h5h6 d6e5 h6h5 e5d6 h5h6 d6e5 h6h5 e5d6 h5h6 d6e5
3,Draw,Draw,1/2-1/2,192x16_20260617_lr1e-9-310,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 f8d6 f1e1 c8e6 c2c4 d5c4 d3c4 e8g8 c4e6 f7e6 e1e6 f8e8 d1b3 g8h8 b1c3 c6a5 b3a4 e8e6 a4a5 d8e8 c1e3 b7b6 a5f5 e6e3 f2e3 e8e3 g1h1 a8e8 a1f1 e3h6 f3e5 d6e5 d4e5 f6g8 c3e4 g7g6 f5d7 e8e5 d7d4 h6g7 h2h3 c7c5 d4d3 g7e7 e4d6 e5e3 d3d2 g8f6 d6c8 e7e6 c8a7 e3e2 d2d8 h8g7 a7c8 e2e1 f1e1 e6e1 h1h2 e1e5 h2g1 e5e1 g1h2 e1e5 h2g1 e5e1 g1h2 e1e5 h2g1 e5e1 g1h2 e1e5 h2g1 e5e1 g1h2
4,Draw,Draw,1/2-1/2,maia-1100,192x16_20260617_lr1e-9-310,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 e2e7 f8e7 b1c3 b8c6 c3b5 e7d8 c1g5 h7h6 g5f6 g7f6 e1c1 a7a6 b5c3 c6e7 d1e1 c8e6 f3d4 e8d7 d4e6 f7e6 g2g3 c7c6 f1h3 f6f5 f2f4 d8a5 e1e2 h6h5 h1e1 h8h6 h3g2 h5h4 g3h4 a8h8 h4h5 d6d5 g2f3 d5d4 c3a4 a5e1 e2e1 d7d6 a4b6 d6c7 b6c4 h8h7 c4e5 e7d5 f3d5 e6d5 e5f3 h6h5 f3d4 h5h2 d4f5 h2f2 f5d4 h7h2 f4f5 c6c5 d4e6 c7d6 d3d4 f2c2 c1b1 c2b2 b1c1 c5c4 f5f6 h2c2 c1d1 c2f2 d1c1 b2a2 c1b1 a2b2 b1c1 b2a2 c1b1 a2b2 b1c1 b2a2 c1b1 f2b2 b1c1 b2f2 c1b1 f2b2 b1c1 b2f2
5,Draw,Draw,1/2-1/2,192x16_20260617_lr1e-9-310,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 c8g4 c2c3 f8d6 f1e1 c6e7 h2h3 g4h5 c1g5 e8g8 b1d2 e7g6 g2g4 g6f4 g5f4 d6f4 g4h5 f6h5 d2f1 d8f6 f3e5 f6g5 d1g4 g5g4 h3g4 h5f6 g1g2 a8e8 g2f3 f4e5 e1e5 e8e5 d4e5 f6d7 a1e1 d7c5 d3c2 f8e8 f1g3 f7f6 b2b4 c5e6 e5f6 e6g5 f3f4 e8e1 f4g5 g7f6 g5f6 e1c1 c2b3 c1c3 b3d5 g8f8 g3e4 c3f3 f6e5 c7c6 d5b3 b7b6 g4g5 f8g7 b3d1 f3d3 d1b3 d3f3 b3d1 f3d3 d1b3 d3f3 b3d1 f3d3 d1b3 d3f3 b3d1 f3d3 d1b3 d3f3
6,Win,192x16_20260617_lr1e-9-310,0-1,maia-1100,192x16_20260617_lr1e-9-310,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 e2e7 f8e7 b1c3 b8c6 c3b5 e8d7 d3d4 a7a6 b5c3 c6b4 f1d3 b4d3 c2d3 b7b5 e1g1 c8b7 f3g5 h8f8 f1e1 h7h6 g5h3 g7g5 f2f4 g5g4 h3f2 h6h5 h2h3 g4h3 f2h3 f8g8 h3g5 f6g4 g5f7 e7h4 e1e2 h4f6 c3e4 f6d4 g1f1 a8f8 f7g5 g4e5 g2g3 e5d3 c1d2 h5h4 g3h4 d3f4 d2f4 f8f4 f1e1 f4h4 a1d1 h4h1 e1d2 h1d1 d2d1 b7d5 e2d2 c7c5 b2b4 d7c6 b4c5 d6c5 a2a3 a6a5 a3a4 b5a4 d2c2 a4a3 d1c1 a3a2 c2a2 d5a2 g5f3 a2d5 f3d4 c5d4 e4f6 g8g1 c1d2 a5a4 f6d5 c6d5 d2d3 a4a3 d3c2 a3a2 c2b2 a2a1q b2b3 g1g3 b3c2 g3g2 c2b3 g2b2
7,Draw,Draw,1/2-1/2,192x16_20260617_lr1e-9-310,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 f8d6 f1e1 c8e6 c2c4 d5c4 d3c4 e8g8 c4e6 f7e6 e1e6 f8e8 d1b3 g8h8 b1c3 c6a5 b3a4 e8e6 a4a5 d8e8 c1e3 b7b6 a5f5 e6e3 f2e3 e8e3 g1h1 a8e8 a1f1 e3h6 f3e5 d6e5 d4e5 f6g8 c3e4 g7g6 f5d7 e8e5 d7d4 h6g7 h2h3 c7c5 d4d3 g7e7 e4d6 e5e3 d3d2 g8f6 d6c8 e7e6 c8a7 e3e2 d2d8 h8g7 a7c8 e2e1 f1e1 e6e1 h1h2 e1e5 h2g1 e5e1 g1h2 e1e5 h2g1 e5e1 g1h2 e1e5 h2g1 e5e1 g1h2 e1e5 h2g1 e5e1 g1h2
8,Draw,Draw,1/2-1/2,maia-1100,192x16_20260617_lr1e-9-310,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 e2e7 f8e7 b1c3 b8c6 c3b5 e7d8 c1g5 h7h6 g5f6 g7f6 e1c1 a7a6 b5c3 c6e7 d1e1 c8e6 f3d4 e8d7 d4e6 f7e6 g2g3 c7c6 f1h3 f6f5 f2f4 d8a5 e1e2 h6h5 h1e1 h8h6 h3g2 h5h4 g3h4 a8h8 h4h5 d6d5 g2f3 d5d4 c3a4 a5e1 e2e1 d7d6 a4b6 d6c7 b6c4 e7d5 c4e5 h8h7 e5g6 c7d6 g6f8 h7h8 f8g6 h8h7 g6f8 h7f7 f8g6 f7h7 g6f8 h7f7 f8g6 f7h7 g6f8 h7f7 f8g6 f7h7
9,Draw,Draw,1/2-1/2,192x16_20260617_lr1e-9-310,maia-1100,g1f3 e7e6 e2e4 d7d5 e4d5 e6d5 d2d4 g8f6 f1d3 b8c6 e1g1 f8d6 f1e1 c8e6 c2c4 d5c4 d3c4 e8g8 c4e6 f7e6 e1e6 f8e8 d1b3 g8h8 b1c3 c6a5 b3b5 e8e6 b5a5 d8e8 c1e3 b7b6 a5f5 e6e3 f2e3 e8e3 g1h1 a8e8 a1f1 e3h6 f3e5 d6e5 d4e5 f6g8 c3e4 g7g6 f5d7 e8f8 f1e1 h6f4 h2h3 f4e5 d7d2 g8f6 e4g5 e5g3 e1e7 f8e8 e7e8 f6e8 d2d8 g3e1 h1h2 e1e5 h2h1 e5e1 h1h2 e1e5 h2h1 e5e1 h1h2 e1e5 h2h1 e5e1 h1h2 e1e5 h2h1 e5e1
10,Win,192x16_20260617_lr1e-9-310,0-1,maia-1100,192x16_20260617_lr1e-9-310,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 e2e7 f8e7 f1e2 b8c6 e1g1 c8e6 b1c3 a7a6 d3d4 c6b4 e2d1 e6f5 a2a3 b4c2 d1c2 f5c2 f1e1 e8d7 c1g5 h7h6 g5f6 e7f6 c3d5 f6d8 a1c1 c2b3 d5b4 a6a5 b4d3 a5a4 d3b4 c7c6 d4d5 c6c5 b4d3 d8f6 d3f4 f6b2 c1b1 b2a3 f3d2 a3b4 e1e2 b4d2 e2d2 b7b5 d2b2 c5c4 f4e2 b5b4 e2d4 h8b8 d4c6 b8b5 c6d4 b5d5 d4b3 a4b3 h2h3 a8a2 b2a2 b3a2 b1a1 b4b3 g1f1 c4c3 f1e1 b3b2 a1a2 d5e5 e1d1 b2b1q
