step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,Bishop's Opening,35,0.308532,0.11606,0.352661,0.054265,245.867675,45.741233
0,Bishop's Opening: Berlin Defense,28,0.335906,0.084038,0.308934,0.012975,149.687913,34.812974
0,Bogo-Indian Defense: Exchange Variation,18,0.43037,0.063277,0.347724,0.024347,18.623649,20.703641
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.295586,0.079879,0.301482,0.012573,91.963965,22.691327
0,Catalan Opening: Closed,24,0.351005,0.033996,0.379432,0.059839,75.97347,27.006645
0,Grünfeld Defense,10,0.395105,0.143103,0.346147,0.059713,45.719082,14.212191
0,Grünfeld Defense: Exchange Variation,10,0.459324,0.102034,0.436404,0.082957,26.063507,10.904629
0,Grünfeld Defense: Three Knights Variation,30,0.316037,0.09504,0.330739,0.060153,173.983578,42.197992
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.25617,0.051798,0.377614,0.068151,97.391465,25.488274
0,Indian Defense: Anti-Nimzo-Indian,22,0.309107,0.054372,0.274575,0.03745,93.81059,36.274228
0,Indian Defense: London System,35,0.328339,0.071365,0.350224,0.05641,98.028329,45.473879
0,Italian Game: Classical Variation,18,0.379919,0.097472,0.364866,0.031454,70.923285,20.864884
0,"Italian Game: Classical Variation, Albin Gambit",16,0.334477,0.089232,0.380332,0.028566,86.575993,17.306238
0,"Italian Game: Classical Variation, Center Attack",16,0.469086,0.119447,0.428088,0.023157,65.533193,14.92749
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.324632,0.081236,0.346306,0.017855,146.696166,39.841182
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.320525,0.061279,0.349352,0.016064,116.030742,30.233633
0,Italian Game: Giuoco Piano,22,0.347062,0.108311,0.369313,0.020547,126.544719,23.673696
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.436217,0.155249,0.444001,0.080385,84.136224,30.973696
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.292658,0.0618,0.299176,0.015923,126.499741,40.095809
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.240749,0.076713,0.323835,0.020155,135.568214,27.153871
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.345321,0.119999,0.372124,0.029836,129.476904,24.647432
0,King's Indian Defense,10,0.349714,0.069352,0.405792,0.040393,30.210844,10.220564
0,King's Indian Defense: Fianchetto Variation,22,0.299017,0.057738,0.441064,0.108347,126.292643,26.620346
